I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
0.010986,-0.000183,43.900002,0.000000,0.010986,-0.000183,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000183,43.900002,0.000000,-0.010986,0.031678,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000183,43.900002,0.000000,0.010986,-0.000183,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000183,43.900002,0.000000,0.010986,-0.000183,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000183,43.900002,0.000000,0.010986,-0.000183,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000183,43.900002,0.000000,0.010986,-0.000183,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000183,43.900002,0.000000,0.010986,-0.000183,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000183,43.900002,0.000000,0.010986,-0.000183,48.599998,0.000000,0.000000,0.000000
-0.032959,-0.123598,43.900002,0.000000,0.032959,0.022888,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000183,43.900002,0.000000,0.010986,-0.000183,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000183,43.900002,0.000000,-0.010986,0.091004,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000183,43.900002,0.000000,0.010986,-0.000183,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000549,43.900002,0.000000,-0.010986,-0.017395,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000183,43.900002,0.000000,-0.010986,-0.000183,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000183,43.900002,0.000000,-0.010986,-0.000183,48.599998,0.000000,0.000000,0.000000
0.010986,-0.000183,43.900002,0.000000,-0.010986,-0.000183,48.599998,0.000000,0.000000,0.000000
0.010986,-0.000183,43.900002,0.000000,0.010986,-0.000183,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000183,43.900002,0.000000,-0.010986,-0.032777,48.599998,0.000000,0.000000,0.000000
-0.032959,-0.066834,43.900002,0.000000,-0.010986,-0.000183,48.599998,0.000000,0.000000,0.000000
-0.032959,-0.000183,43.900002,0.000000,-0.010986,0.082215,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000183,43.900002,0.000000,-0.010986,0.043397,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000183,43.900002,0.000000,-0.010986,-0.000183,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000183,43.900002,0.000000,-0.010986,0.069032,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000183,43.900002,0.000000,-0.010986,-0.047059,48.599998,0.000000,0.000000,0.000000
0.010986,-0.000183,43.900002,0.000000,-0.010986,-0.000183,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000183,43.900002,0.000000,0.010986,-0.000183,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000183,43.900002,0.000000,-0.010986,-0.000183,48.599998,0.000000,0.000000,0.000000
-0.010986,-0.000183,43.900002,0.000000,0.010986,-0.000183,48.599998,0.000000,0.000000,0.000000
